Week	Day of the week	Dates	Number of images taken	Camera activity  in minutes	% of images/minutes of camera activity																													
5	Friday	2/6/2014	77	235	32.77%																													
5	Saturday	2/7/2014	392	1140	34.39%																													
5	Sunday	2/8/2014	355	1140	31.14%																													
6	Monday	2/9/2015	373	966	38.61%																													
6	Tuesday	2/10/2015	223	1140	19.56%																													
6	Wednesday	2/11/2015	260	984	26.42%																													
6	Thursday	2/12/2015	261	1140	22.89%																													
6	Friday	2/13/2015	82	1140	7.19%																													
6	Saturday	2/14/2015	301	1125	26.76%																													
6	Sunday	2/15/2015	451	1140	39.56%																													
7	Monday	2/16/2015	458	962	47.61%																													
7	Tuesday	2/17/2015	275	1140	24.12%																													
7	Wednesday	2/18/2015	428	1140	37.54%																													
7	Thursday	2/19/2015	314	914	34.35%																													
7	Friday	2/20/2015	320	1140	28.07%																													
7	Saturday	2/21/2015	435	1140	38.16%																													
7	Sunday	2/22/2015	378	1140	33.16%																													
8	Monday	2/23/2015			0.00%																													
8	Tuesday	2/24/2015	187		0.00%																													
8	Wednesday	2/25/2015	519	1140	45.53%																													
8	Thursday	2/26/2015	382	1140	33.51%																													
8	Friday	2/27/2015	502	1140	44.04%																													
8	Saturday	2/28/2015	326	1140	28.60%																													
8	Sunday	3/1/2015		1140	0.00%																													
